review,sentiment_value,category
Good performance of car,1,Vehicle Quality
Excellent customer service and clean vehicle,1,Customer Service
Very satisfied with the rental experience,1,Overall Experience
Friendly staff and smooth process,1,Staff Interaction
Amazing car condition and quick pickup,1,Vehicle Quality
Outstanding service,1,Customer Service
Perfect vehicle for our trip,1,Vehicle Quality
Great value for money,1,Pricing
Exceptional customer support,1,Customer Service
Clean car and professional staff,1,Vehicle Quality
Smooth booking process,1,Booking Process
Car was in excellent condition,1,Vehicle Quality
Highly recommend this rental service,1,Overall Experience
Staff was very helpful and courteous,1,Staff Interaction
Vehicle exceeded our expectations,1,Vehicle Quality
Quick and efficient service,1,Process Efficiency
Great communication throughout,1,Communication
Car was spotless and well-maintained,1,Vehicle Quality
Fantastic rental experience overall,1,Overall Experience
Professional and reliable service,1,Customer Service
The car was dirty and smelled bad,-1,Vehicle Quality
Late delivery and poor communication,-1,Process Efficiency
The vehicle had mechanical issues,-1,Vehicle Quality
Terrible customer service experience,-1,Customer Service
Car broke down during our trip,-1,Vehicle Quality
Hidden fees not mentioned upfront,-1,Pricing
Staff was rude and unhelpful,-1,Staff Interaction
Vehicle was not as described,-1,Vehicle Quality
Long wait times at pickup,-1,Process Efficiency
Car had damage that was not disclosed,-1,Vehicle Quality
Poor fuel efficiency,-1,Vehicle Quality
Booking system was confusing,-1,Booking Process
Car interior was damaged and dirty,-1,Vehicle Quality
Delayed pickup without notification,-1,Process Efficiency
Overcharged for minor scratches,-1,Pricing
Vehicle smelled of cigarettes,-1,Vehicle Quality
Air conditioning was not working,-1,Vehicle Quality
Car had mechanical problems,-1,Vehicle Quality
Unprofessional staff behavior,-1,Staff Interaction
Worst rental experience ever,-1,Overall Experience
Car was decent for the price,0,Vehicle Quality
Average customer service,0,Customer Service
Car served its purpose,0,Vehicle Quality
Typical rental experience,0,Overall Experience
Service was adequate,0,Customer Service
Car was functional but basic,0,Vehicle Quality
Standard pickup and return process,0,Process Efficiency
Average cleanliness and condition,0,Vehicle Quality
Car was okay for short trips,0,Vehicle Quality
Acceptable service quality,0,Customer Service
Car met minimum requirements,0,Vehicle Quality
Standard rental car experience,0,Overall Experience
Neither good nor bad experience,0,Overall Experience
Superb handling and comfortable ride,1,Vehicle Quality
Impeccable cleanliness inside and out,1,Vehicle Quality
Staff went above and beyond to help,1,Staff Interaction
Best rental rates in town,1,Pricing
Flawless pickup and return experience,1,Process Efficiency
Vehicle looked brand new,1,Vehicle Quality
Extremely satisfied with everything,1,Overall Experience
Quick response to all my queries,1,Communication
Perfectly maintained late-model car,1,Vehicle Quality
Couldn't ask for better service,1,Customer Service
Convenient location and flexible hours,1,Process Efficiency
Smooth ride with no issues,1,Vehicle Quality
Very transparent pricing policy,1,Pricing
Friendly and knowledgeable agents,1,Staff Interaction
Modern car with all features working,1,Vehicle Quality
Made our vacation stress-free,1,Overall Experience
Excellent roadside assistance,1,Customer Service
Cleanest rental car I've ever had,1,Vehicle Quality
Simple online booking system,1,Booking Process
Prompt service at all times,1,Process Efficiency
Helpful suggestions for car choice,1,Staff Interaction
Great selection of vehicles,1,Vehicle Quality
No surprises at checkout,1,Pricing
Comfortable seats and quiet cabin,1,Vehicle Quality
Everything worked perfectly,1,Vehicle Quality
Would give more stars if possible,1,Overall Experience
Polite and efficient staff,1,Staff Interaction
Fastest check-in I've experienced,1,Process Efficiency
Well-organized rental facility,1,Process Efficiency
Clearly explained all policies,1,Communication
Spotless interior with fresh smell,1,Vehicle Quality
New car with low mileage,1,Vehicle Quality
Exceeded expectations in every way,1,Overall Experience
Attentive to all our needs,1,Customer Service
Perfect car for family vacation,1,Vehicle Quality
No waiting at pickup location,1,Process Efficiency
Great experience from start to finish,1,Overall Experience
Helpful with local driving tips,1,Staff Interaction
Premium car at standard rates,1,Pricing
All paperwork was ready in advance,1,Process Efficiency
Vehicle was detailed to perfection,1,Vehicle Quality
Smooth transmission and brakes,1,Vehicle Quality
Best rental company in the area,1,Overall Experience
Quick resolution of minor issue,1,Customer Service
Convenient mobile check-in option,1,Booking Process
Spacious trunk for all our luggage,1,Vehicle Quality
Excellent GPS system included,1,Vehicle Quality
Friendly reminder before pickup,1,Communication
No hidden damage or problems,1,Vehicle Quality
Perfect rental for business trip,1,Overall Experience
Car was a pleasure to drive,1,Vehicle Quality
Staff remembered me from last time,1,Staff Interaction
Easy to find parking location,1,Process Efficiency
Great fuel economy on highway,1,Vehicle Quality
All accessories worked properly,1,Vehicle Quality
Very professional operation,1,Overall Experience
Quick replacement when needed,1,Customer Service
Clear instructions provided,1,Communication
Like driving a showroom car,1,Vehicle Quality
No extra charges at return,1,Pricing
Vehicle was ready early,1,Process Efficiency
Perfect size for city driving,1,Vehicle Quality
Helpful with insurance questions,1,Staff Interaction
Cleanest rental I've ever seen,1,Vehicle Quality
Made our trip unforgettable,1,Overall Experience
Fast online reservation system,1,Booking Process
Excellent condition tires and brakes,1,Vehicle Quality
No pressure to buy extras,1,Staff Interaction
Comfortable for long distances,1,Vehicle Quality
Everything as promised,1,Overall Experience
Quick inspection at return,1,Process Efficiency
Great family-friendly options,1,Vehicle Quality
Super clean and sanitized,1,Vehicle Quality
Perfect for our road trip,1,Overall Experience
Helpful with car seat installation,1,Staff Interaction
No issues with navigation system,1,Vehicle Quality
Better than expected quality,1,Vehicle Quality
